0x0F7,"Restores some HP.\n
"
0x0F8,"Restores a large amount of HP.\n
"
0x0F9,"Restores all HP.\n
"
0x0FA,"Restores some MP.\n
"
0x0FB,"Restores a large amount of MP.\n
"
0x0FC,"Restores some HP.\n
"
0x0FD,"Restores a large amount of HP.\n
"
0x0FE,"Counteracts the effects of poison.\n
"
0x0FF,"Counteracts the effects of curses.\n
"
0x100,"Contains medicine that makes you\n
invincible at a set time.\n
"
0x101,"Opens the door that gives off\n
a golden hue.\n
"
0x102,"Opens doors marked with a skull \n
design.\n
"
0x103,"Enter the lion's cross in the \n
cavern.\n
"
0x104,"One portion of the castle's \n
floor plan is written on it.\n
"
0x105,"One portion of the castle's \n
floor plan is written on it.\n
"
0x106,"One portion of the castle's \n
floor plan is written on it.\n
"
0x107,"Somewhere there exists a mechanism \n
for draining the caves.\n
"
0x108,"The eyes of the goddess statue\n
point to a secret passage.\n
"
0x109,"Kneel before the round gate\n
to be taken to a different place. \n
"
0x10A,"Some spells can be cast\n
multiple times.\n
"
0x10B,"They say there is a book with\n
the power to summon monsters.\n
"
0x10C,"The red book and the Dagger\n
share a secret.\n
"
0x10D,"It cannot be seen at night.\n
"
0x10E,"A white jewel.\n
"
0x10F,"A blue−green jewel.\n
"
0x110,"A valuable blue jewel.\n
"
0x111,"A valuable red jewel.\n
"
0x112,"An extremely valuable jewel.\n
"
0x113,"By holding ATTACK down, a ""charged \n
attack"" can break some walls.\n
"
0x114,"Adds a steel ball to the tip of a \n
whip.\n
"
0x115,"Adds a platinum ball to the tip of \n
a whip.\n
"
0x116,"Holding the ATTACK button down \n
causes user's whip to swing around.\n
"
0x117,"Causes bullets to fire from whip's \n
tip only when user's HP is max.\n
"
0x118,"Adds fire to attacks made with a \n
whip.\n
"
0x119,"Adds ice to attacks made with a \n
whip.\n
"
0x11A,"Adds lightning to attacks made with a\n
whip.\n
"
0x11B,"Adds wind to attacks made with a \n
whip.\n
"
0x11C,"Easily maneuvered armor made from \n
tanned hides.\n
"
0x11D,"Armor made from a rubber−like, \n
soft material.\n
"
0x11E,"Armor woven from long blades of \n
grass. Surprisingly sturdy.\n
"
0x11F,"Long metal armor coat that protects \n
its user above the knees.\n
"
0x120,"Armor made of cloth.\n
"
0x121,"Armor made of bronze.\n
"
0x122,"Layered leather armor, hardened \n
with wax.\n
"
0x123,"Armor made from fabric treated with \n
a special liquid.\n
"
0x124,"Leather armor into which metal \n
pieces have been sewn.\n
"
0x125,"A fashionable coat.\n
"
0x126,"Gaudily decorated armor. Some \n
people find it appealing.\n
"
0x127,"Armor made up of chain netting.\n
"
0x128,"Armor made up of layered metal \n
scales.\n
"
0x129,"When standing still, this armor \n
restores its user's HP slowly.\n
"
0x12A,"The body of Guardian Armor.\n
"
0x12B,"Armor with a high resistance to \n
fire.\n
"
0x12C,"Armor made from a combination of \n
wood and metal.\n
"
0x12D,"Legend has it that this armor was \n
worn by ancient gods.\n
"
0x12E,"This armor looks extremely heavy.\n
"
0x12F,"Armor made entirely of metal and \n
thus extremely heavy.\n
"
0x130,"Double−layered armor.\n
"
0x131,"Armor affected by the Sun.\n
"
0x132,"Armor affected by the Moon.\n
"
0x133,"Armor designed for easy \n
maneuverability during battles.\n
"
0x134,"This armor restores its user's \n
HP when in motion.\n
"
0x135,"Armor forged of silver.\n
"
0x136,"Armor crafted from a material that \n
modern alchemists can't comprehend.\n
"
0x137,"This armor affects its user's spirit.\n
MP consumption rate is reduced.\n
"
0x138,"Armor said to have been worn by \n
emperors.\n
"
0x139,"Clothes usually worn by city folk.\n
"
0x13A,"Thin garments that are extremely \n
comfortable in hot weather.\n
"
0x13B,"A bit on the casual side, but \n
looks fashionable on some.\n
"
0x13C,"Robe made from pieces of thin \n
cloth and is light as a feather.\n
"
0x13D,"Beautifully embroidered clothing.\n
"
0x13E,"Designed to allow for the easy \n
dodging of attacks.\n
"
0x13F,"It appears to be a normal coat,\n
but metal has been woven into it.\n
"
0x140,"Robe with a high resistance to ice.\n
"
0x141,"An elegant robe suitable to \n
nobility.\n
"
0x142,"A robe with strange hidden powers. \n
Increases its user's INT.\n
"
0x143,"Robe with a high resistance to\n
lightning.\n
"
0x144,"Battle wear. Certain areas are \n
reinforced for added protection.\n
"
0x145,"This robe is rumored to have once \n
been worn by a great wise man.\n
"
