0x0F7,"Restaura algo de salud.\n
"
0x0F8,"Restaura mucha salud.\n
"
0x0F9,"Restaura toda la salud.\n
"
0x0FA,"Restaura algo de magia.\n
"
0x0FB,"Restaura mucha magia.\n
"
0x0FC,"Restaura algo de salud.\n
"
0x0FD,"Restaura mucha salud.\n
"
0x0FE,"Contrarresta el veneno.\n
"
0x0FF,"Contrarresta las maldiciones.\n
"
0x100,"Medicina que te hace invencible\n
por tiempo limitado.\n
"
0x101,"Abre las puertas con brillo\n
arcoiris.\n
"
0x102,"Abre puertas con diseño de\n
calavera verdes.\n
"
0x103,"Úsala en la cabeza\n
de león de las cuevas.\n
"
0x104,"Contiene una parte del\n
plano del castillo.\n
"
0x105,"Contiene una parte del\n
plano del castillo.\n
"
0x106,"Contiene una parte del\n
plano del castillo.\n
"
0x107,"Drena las cuevas en la cabeza\n
de león con la llave.\n
"
0x108,"Los ojos de la diosa señalan un\n
pasadizo secreto en el acueducto.\n
"
0x109,"Mira hacia arriba para cambiar de capa\n
y hacia abajo para regresar.\n
"
0x10A,"Algunos hechizos se pueden lanzar\n
varias veces.\n
"
0x10B,"Dicen que el libro negro tiene el\n
poder de invocar monstruos.\n
"
0x10C,"El libro rojo y el cuchillo comparten\n
un secreto.\n
"
0x10D,"Se oculta en la noche, brilla mucho.\n
"
0x10E,"Una gema blanca.\n
"
0x10F,"Una gema azul verdosa.\n
"
0x110,"Una valiosa gema azul.\n
"
0x111,"Una valiosa gema roja.\n
"
0x112,"Una gema muy valiosa.\n
"
0x113,"Al mantener pulsado ATAQUE, el ataque\n
cargado puede romper algunos muros.\n
"
0x114,"Añade una bola de acero\n
a la punta del látigo.\n
"
0x115,"Añade una bola de platino\n
a la punta del látigo.\n
"
0x116,"Mantener pulsado ATAQUE hace girar el\n
látigo alrededor del usuario.\n
"
0x117,"Lanza balas desde la punta del látigo\n
solo con salud al máximo.\n
"
0x118,"Añade fuego a los\n
ataques con el látigo.\n
"
0x119,"Añade hielo a los\n
ataques con el látigo.\n
"
0x11A,"Añade trueno a los\n
ataques con el látigo.\n
"
0x11B,"Añade viento a los\n
ataques con el látigo.\n
"
0x11C,"Armadura ligera hecha\n
de cuero curtido.\n
"
0x11D,"Placa hecha de un material blando\n
parecido a la goma.\n
"
0x11E,"Tejida con largas briznas de hierba.\n
Sorprendentemente fuerte.\n
"
0x11F,"Larga cota de metal que protege por\n
encima de las rodillas.\n
"
0x120,"Armadura hecha de tela.\n
"
0x121,"Armadura hecha de bronce.\n
"
0x122,"Cuero en capas,\n
endurecido con cera.\n
"
0x123,"Tela tratada con un\n
líquido especial.\n
"
0x124,"Cuero con piezas de\n
metal cosidas.\n
"
0x125,"Un abrigo a la moda.\n
"
0x126,"Armadura muy vistosa. A algunos les\n
resulta atractiva.\n
"
0x127,"Armadura hecha con malla de cadenas.\n
"
0x128,"Armadura con capas de\n
escamas de metal.\n
"
0x129,"Al quedarse quieto, restaura\n
la salud lentamente.\n
"
0x12A,"El cuerpo de la Coraza Guarda.\n
"
0x12B,"Armadura con alta\n
resistencia al fuego.\n
"
0x12C,"Hecha combinando\n
madera y metal.\n
"
0x12D,"Cuenta la leyenda que la usaron\n
antiguos dioses.\n
"
0x12E,"Esta armadura parece muy pesada.\n
"
0x12F,"Hecha enteramente de metal, por lo que\n
es muy pesada.\n
"
0x130,"Armadura de doble capa.\n
"
0x131,"Armadura influida por el Sol.\n
"
0x132,"Armadura influida por la Luna.\n
"
0x133,"Diseñada para moverse con facilidad en\n
combate.\n
"
0x134,"Restaura la salud del\n
usuario al moverse.\n
"
0x135,"Armadura forjada en plata.\n
"
0x136,"Hecha de un material que los\n
alquimistas modernos no comprenden.\n
"
0x137,"Afecta al espíritu de su usuario.\n
Reduce el consumo de magia.\n
"
0x138,"Se dice que la vistieron\n
emperadores.\n
"
0x139,"Ropa que suele vestir gente de ciudad.\n
"
0x13A,"Prendas finas muy cómodas en climas\n
cálidos.\n
"
0x13B,"Algo informal, pero queda elegante en\n
algunas personas.\n
"
0x13C,"Hecha de trozos de tela fina, ligera\n
como una pluma.\n
"
0x13D,"Ropa bellamente bordada.\n
"
0x13E,"Diseñada para esquivar ataques con\n
facilidad.\n
"
0x13F,"Parece un abrigo normal, pero tiene\n
metal entretejido.\n
"
0x140,"Túnica con alta resistencia al hielo.\n
"
0x141,"Una túnica elegante\n
propia de la nobleza.\n
"
0x142,"Túnica con extraños poderes ocultos.\n
Aumenta INT (INTELIGENCIA).\n
"
0x143,"Túnica con alta\n
resistencia al trueno.\n
"
0x144,"Ropa de batalla. Algunas zonas están\n
reforzadas.\n
"
0x145,"Se dice que la usó un gran sabio en el\n
pasado.\n
"
0x146,"Juste le ha tomado cariño y siempre lo\n
lleva puesto.\n
"
0x147,"Permite ver algo en\n
la oscuridad.\n
"
0x148,"Recuerdo de Maxim, abre puerta\n
ámbar y algo más combinado con JB.\n
"
0x149,"Con GRAN SALTO se pueden\n
romper algunos techos.\n
"
0x14A,"Una bandana con estilo.\n
"
0x14B,"Los turbantes son muy populares\n
en zonas cálidas.\n
"
0x14C,"Una diadema sencilla.\n
"
0x14D,"Un gorro hecho de cuero.\n
"
0x14E,"Casco de tela muy\n
endurecida.\n
"
0x14F,"Un casco hecho de cuero.\n
"
0x150,"Casco con fuertes medallas en su\n
estructura.\n
"
0x151,"Casco de metal que protege la parte\n
superior de la cabeza.\n
"
0x152,"Un yelmo de estilo corintio.\n
"
0x153,"Diseñado para\n
proteger la cara.\n
"
0x154,"Un casco de tierras lejanas.\n
"
0x155,"Casco tejido con\n
finas tiras de metal.\n
"
0x156,"Casco con un protector de\n
cara adjunto.\n
"
0x157,"La cabeza de la Coraza Guarda.\n
"
0x158,"Diseñado para proteger la nuca del\n
usuario.\n
"
0x159,"Casco hecho con malla de cadenas.\n
"
0x15A,"Otorga un aspecto elegante.\n
"
0x15B,"Un casco con forma de tubo.\n
"
0x15C,"Casco con un protector de cuello\n
adjunto.\n
"
0x15D,"Un casco con forma de caldero.\n
"
0x15E,"Un casco hecho de hierro.\n
"
0x15F,"Cubre desde la cabeza entera\n
hasta el cuello.\n
"
0x160,"Tiene protectores de oído. Reduce la\n
audición al llevarlo.\n
"
0x161,"Un casco con forma\n
de olla invertida.\n
"
0x162,"Una tiara hecha de plata.\n
"
0x163,"Un casco hecho de acero.\n
"
0x164,"Un casco usado por los vikingos.\n
"
0x165,"Aro de oro para la cabeza.\n
"
0x166,"Corona hecha de platino.\n
"
0x167,"Sombrero casual de seda carmesí.\n
"
0x168,"Guantes de cuero. Abrigan bien.\n
"
0x169,"Guanteletes de protección\n
para las manos.\n
"
0x16A,"Guante acolchado que\n
protege las manos.\n
"
0x16B,"Guantes de cuero endurecido.\n
"
0x16C,"El brazo de la Coraza Guarda.\n
"
0x16D,"Buena protección para todo el brazo,\n
aunque hace sudar un poco.\n
"
0x16E,"Armadura de brazo hecha completamente\n
de metal.\n
"
0x16F,"Un guante empapado de mucha sangre.\n
"
0x170,"Un guante hecho de acero.\n
"
0x171,"Botas de cuero. Son\n
muy cómodas.\n
"
0x172,"Calzado protector de cuero. También\n
cubre las espinillas.\n
"
0x173,"Diseñadas con protección\n
extra para el tobillo.\n
"
0x174,"Botas hechas de bronce.\n
"
0x175,"Las piernas de la Coraza Guarda.\n
"
0x176,"Botas de hierro. Son\n
frías en invierno.\n
"
0x177,"Pantalones reforzados\n
con placas de metal.\n
"
0x178,"La parte delantera lleva refuerzos de\n
placas de metal.\n
"
0x179,"Botas hechas de plata.\n
"
0x17A,"Botas que desafían las leyes de la\n
gravedad.\n
"
0x17B,"Hechos de platino. Son\n
Muy valiosos.\n
"
0x17C,"Estas botas permiten dar saltos\n
de forma infinita.\n
"
0x17D,"Capa de seda fina,\n
muy ligera.\n
"
0x17E,"Una capa hecha de terciopelo.\n
"
0x17F,"Una capa verde brillante.\n
"
0x180,"Capa con alta\n
resistencia al viento.\n
"
0x181,"Una capa roja como la sangre.\n
"
0x182,"Capa de asesino del\n
país del oro.\n
"
0x183,"Capa negra como el azabache que\n
envuelve al usuario en sombras.\n
"
0x184,"Ofrece un excelente\n
apoyo.\n
"
0x185,"Un protector de muñeca.\n
"
0x186,"Se dice que la\n
usaron emperadores.\n
"
0x187,"Un brazalete hecho de plata.\n
"
0x188,"Tiene grabado algún\n
tipo de blasón.\n
"
0x189,"Un amuleto que se puede comprar en\n
cualquier sitio.\n
"
0x18A,"Aumenta LCK (SUERTE) del usuario.\n
No se puede ver su interior.\n
"
0x18B,"Collar hecho de oro. Es un poco\n
llamativo.\n
"
0x18C,"Este collar mágico vuelve más sabio a\n
su usuario.\n
"
0x18D,"Aumenta la resistencia a la\n
petrificación.\n
"
0x18E,"Collar con forma de corazón. Aumenta\n
la aparición de CORAZONES GRANDES.\n
"
0x18F,"Aumenta la suerte de su usuario para\n
encontrar dinero.\n
"
0x190,"Este broche vuelve mucho más sabio\n
a su usuario.\n
"
0x191,"Acelera la\n
recuperación de MP.\n
"
0x192,"Aumenta la\n
resistencia al veneno.\n
"
0x193,"Aumenta LCK(SUERTE) del usuario.\n
"
0x194,"Sus poderes sagrados dificultan\n
sufrir maldiciones.\n
"
0x195,"Aumenta la aparición\n
de objetos raros.\n
"
0x196,"Aumenta la fuerza\n
del Agua Bendita.\n
"
0x197,"Aumenta la fuerza\n
de la Cruz.\n
"
